TIME;TIME;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
ES111;A Coruña;13 937,8;14 938,8;16 277,5;17 430,5;18 770,9;20 386,2;21 987,7;23 913,1;24 947,8;24 535,9;24 892,2;24 350,7;23 406,1;23 402,5;23 270,8;24 557,8;25 451,5;26 097,8;27 211,9;27 819,4;25 501,4;27 529,8;30 969,7;:
ES112;Lugo;4 271,6;4 632,3;4 808;5 126,8;5 470,7;6 123,9;6 571,8;6 903,4;7 032,3;6 744;6 993,4;6 999,3;6 882,1;6 921,1;7 112;7 495,9;7 472,9;7 458,9;7 769;7 822,9;6 945,1;7 637,5;8 636,2;:
ES113;Ourense;3 797,8;4 168,2;4 520,8;4 765,6;4 962,1;5 320,1;5 688,6;5 985,8;6 252,4;5 936,7;6 119,6;6 174;6 065,9;5 948,5;5 918,5;6 092,2;6 317,4;6 517,8;6 785,2;7 138,9;6 420,4;7 262,7;7 946,2;:
ES114;Pontevedra;11 432,2;12 290,2;12 834,5;13 816,8;15 046,1;16 125,1;17 712,2;19 203,4;20 021,5;19 036,5;18 782,1;18 292,9;17 667,2;17 766,7;18 110;18 864,7;19 322,2;20 556,3;20 883,4;21 720,8;20 140,3;21 957,5;23 813,8;:
ES120;Asturias;14 156,3;15 252,7;16 131,6;17 036,4;18 115,3;19 638;21 339;22 873,6;23 614,3;22 366,4;22 590,6;22 261,8;21 265,2;20 693,9;20 636,3;21 388,1;21 675,4;22 538,3;23 185,7;23 666,6;21 376,4;23 617,6;26 481,2;:
ES130;Cantabria;7 985,5;8 636,3;9 208,7;9 699,4;10 327,2;11 148,7;11 951,9;12 838,7;13 280,9;12 811,7;12 882,8;12 680,3;12 224,9;11 944,1;12 158,5;12 443,8;12 833,9;13 318;13 843,9;14 274,4;12 991,2;14 206,5;15 540,5;:
ES211;Araba/Álava;6 295,8;6 838,1;7 408,3;7 849,4;8 436,3;9 183,6;10 187,2;11 053,7;11 638,5;10 804,9;10 777,3;10 873,4;10 581,1;10 688,2;11 006,6;11 296,8;11 960,7;12 336,1;12 721,2;12 797,5;11 764,2;11 958,5;12 935,3;:
ES212;Gipuzkoa;13 493,6;14 803,6;15 368,9;15 952,4;17 001,9;18 110;19 899,6;21 258,9;21 556,1;20 537,5;20 884,4;20 843,7;20 384,3;20 033,7;20 167,8;20 889,7;21 467,9;22 934,9;23 594,1;24 464,8;21 891,8;24 644,4;26 736,2;:
ES213;Bizkaia;20 944,8;21 873,6;23 113,8;24 601,9;26 056,9;28 070,6;29 785;31 577;33 187,8;32 259,3;32 762,9;32 190,2;31 377,6;30 774,8;31 462,6;32 886,8;33 686,3;34 314,3;35 599,9;36 737,7;33 016,6;35 910,2;40 809,5;:
ES220;Navarra;11 309;12 052,3;12 847,8;13 652,2;14 550,3;15 630,2;16 772,2;17 870,5;18 620,3;18 001,9;18 089,1;18 058,4;17 377,7;17 346,7;17 642;18 334,4;18 911,3;19 698,8;20 236;21 070,3;19 160,7;20 821,2;23 211,1;:
ES230;La Rioja;4 931,4;5 273;5 566,9;6 021,5;6 383,7;6 868,9;7 427;7 961,8;8 264,9;7 911,9;8 008,6;7 945,4;7 669;7 581,1;7 738,4;8 033,1;8 074,1;8 351,7;8 649,9;8 890;8 186,9;8 735,9;9 713,3;:
ES241;Huesca;3 348,4;3 715,3;4 011,7;4 298,4;4 531,1;4 766,3;5 166,2;5 732,9;6 153,1;5 782,7;5 914,3;5 873,4;5 582,7;5 740,8;5 685,2;5 739,4;6 224,1;6 275,2;6 339,7;6 567,3;6 331;6 780,2;7 478,5;:
ES242;Teruel;2 342,9;2 493,7;2 654,4;2 737,4;2 878,6;3 137;3 366,2;3 612,3;3 770,3;3 525,7;3 509,2;3 446,3;3 351,6;3 366,9;3 372,9;3 287,5;3 256,3;3 222,8;3 381,3;3 422,5;3 120,5;3 529,1;4 052;:
ES243;Zaragoza;14 740,4;15 726,1;17 066,8;18 293,3;19 566,1;21 078,8;22 879,3;24 803,3;25 516,3;24 505,7;24 676,8;24 311,8;23 235,5;23 216,2;23 544,4;24 239;25 061,8;26 485,6;27 492,9;28 475,2;26 504;28 473,1;31 923,1;:
ES300;Madrid;113 369,2;123 638,3;132 944,6;142 555,3;153 296,9;165 662;180 932,5;194 151,5;201 865,6;199 290,1;198 289,8;199 623,7;196 359,7;193 344,5;196 018,1;206 231,5;214 469,1;224 373,2;233 735,8;243 889,4;221 061,9;239 837;267 578,5;:
ES411;Ávila;2 067,4;2 141,2;2 212,5;2 321,5;2 520,4;2 620,6;2 843,4;3 130,9;3 217,9;3 124,7;3 113,4;3 111,1;3 043,9;2 954;2 944,7;2 996,7;3 003,3;3 088;3 192;3 296,5;3 056,4;3 247,7;3 487,6;:
ES412;Burgos;6 225;6 493,5;6 860,2;7 367,3;7 883,8;8 453,3;8 910,5;9 580,7;10 025,4;9 512,6;9 548,1;9 600,7;9 431,2;9 068,4;8 995,2;9 253,7;9 572,1;10 054,3;10 494,2;10 628,5;9 620,3;10 223,9;10 721,8;:
ES413;León;6 491,9;6 956,6;7 251;7 573,1;7 930,4;8 681,1;9 296,4;9 862,5;10 050,5;9 904,1;9 847,5;9 676,2;9 391,7;9 068,6;9 027,9;9 257,8;9 232;9 506,1;9 777,6;10 041,8;9 276,5;10 454,2;11 680,7;:
ES414;Palencia;2 560,1;2 734;3 021;3 233,7;3 418,1;3 638,1;3 813,3;4 179,6;4 280,9;4 091,7;4 031;4 050,9;3 814,8;3 770,1;3 731,5;3 935,4;4 171,9;4 070,3;4 375,1;4 417,9;4 042,4;4 326,9;4 647,4;:
ES415;Salamanca;4 350,8;4 790,9;5 046,4;5 454,6;5 737,5;5 965,9;6 312;6 631;6 756,9;6 705,1;6 445,7;6 403,4;6 167,1;5 985,9;6 016,7;6 255,8;6 511,4;6 692,4;6 894,1;7 149,7;6 583,5;7 387;8 569,9;:
